Time_Step,prod-rate-co2-r21,flow-time
0,0,0
20,8.424726236663887e-09,0.02
40,1.574071914565533e-08,0.04
60,2.127722427445929e-08,0.06
80,2.776075294547294e-08,0.08
100,3.550759835469837e-08,0.1
120,4.459251085779543e-08,0.12
140,5.506294614401808e-08,0.14
160,6.693755038759929e-08,0.16
180,8.020578517194335e-08,0.18
200,9.482890876729334e-08,0.2
220,1.10742148795463e-07,0.22
240,1.278578088866043e-07,0.24
260,1.460690345642072e-07,0.26
280,1.652539507572123e-07,0.28
300,1.852798952291979e-07,0.3
320,2.060075539849949e-07,0.32
340,2.272948143996511e-07,0.34
360,2.490002209431198e-07,0.36
380,2.709859363719953e-07,0.38
400,2.931202005706315e-07,0.4
420,3.152792927210698e-07,0.42
440,3.539399529371503e-07,0.44
460,3.84946342981599e-07,0.46
480,4.260355094478339e-07,0.48
500,4.795898982463725e-07,0.5
520,5.854454217204863e-07,0.52
540,7.430075901076815e-07,0.54
560,8.985143912757636e-07,0.5600000000000001
580,1.048213611227494e-06,0.58
600,1.190435299068793e-06,0.6
620,1.327172854207363e-06,0.62
640,1.46060332236212e-06,0.64
660,1.588918367710157e-06,0.66
680,1.710682768650923e-06,0.68
700,1.829321311270226e-06,0.7000000000000001
720,1.94417119465054e-06,0.72
740,2.044482535682353e-06,0.74
760,2.142005777221553e-06,0.76
780,2.23558034937077e-06,0.78
800,2.322697774417667e-06,0.8
820,2.406362871083144e-06,0.8200000000000001
840,2.485037221681831e-06,0.84
860,2.5567201484745e-06,0.86
880,2.626174366755095e-06,0.88
900,2.693362456006167e-06,0.9
920,2.758232312342119e-06,0.92
940,2.820833981839827e-06,0.9400000000000001
960,2.881158612718102e-06,0.96
980,2.938272984703921e-06,0.98
1000,2.99201058370182e-06,1
1020,3.041207666849247e-06,1.02
1040,3.089881475274465e-06,1.04
1060,3.134118795280269e-06,1.06
1080,3.176455630914092e-06,1.08
1100,3.217248768807261e-06,1.1
1120,3.256548658017327e-06,1.12
1140,3.294406716728675e-06,1.14
1160,3.330874179357948e-06,1.16
1180,3.366001827742548e-06,1.18
1200,3.398077079218644e-06,1.2
1220,3.427774567968906e-06,1.22
1240,3.456392416570004e-06,1.24
1260,3.483976027101556e-06,1.26
1280,3.510568510077347e-06,1.28
1300,3.536209938810141e-06,1.3
1320,3.560941129238994e-06,1.32
1340,3.584800690209896e-06,1.34
1360,3.604454567473042e-06,1.36
1380,3.618265906296243e-06,1.38
1400,3.632903737538391e-06,1.4
1420,3.647040454238797e-06,1.42
1440,3.660503397486637e-06,1.44
1460,3.671714258723541e-06,1.46
1480,3.682773148685812e-06,1.48
1500,3.693622735443046e-06,1.5
1520,3.704099279712635e-06,1.52
1540,3.714219789205065e-06,1.54
1560,3.724002852767661e-06,1.56
1580,3.733466798786351e-06,1.58
1600,3.742629110000769e-06,1.6
1620,3.751506297018837e-06,1.62
1640,3.760113813163084e-06,1.64
1660,3.76739025827853e-06,1.66
1680,3.773813014145063e-06,1.68
1700,3.780031772022744e-06,1.7
1720,3.785489212290264e-06,1.72
1740,3.789413321764619e-06,1.74
1760,3.793425902012977e-06,1.76
1780,3.797286055493259e-06,1.78
1800,3.800755922077007e-06,1.8
1820,3.804342496398748e-06,1.82
1840,3.80780475041359e-06,1.84
1860,3.810904590173339e-06,1.86
1880,3.81414339193335e-06,1.88
1900,3.817280293019502e-06,1.9
1920,3.820077528564854e-06,1.92
1940,3.823031259411786e-06,1.94
1960,3.825901204748889e-06,1.96
1980,3.828450303027051e-06,1.98
2000,3.831169721606068e-06,2
""
