Time_Step,tau-chem-r1,flow-time
0,0,0
20,3297988655298930,0.02
40,622140114691890.5,0.04
60,156213798298872.3,0.06
80,43593493712791.2,0.08
100,13318618534344.28,0.1
120,4426671023143.392,0.12
140,1591195124385.885,0.14
160,615196211079.0234,0.16
180,254517362823.1245,0.18
200,112137340196.1269,0.2
220,52380531279.29243,0.22
240,25832556573.3118,0.24
260,13398540156.72646,0.26
280,7282410175.004893,0.28
300,4133933156.534821,0.3
320,2443262410.116218,0.32
340,1499122618.834886,0.34
360,952354165.3039064,0.36
380,624843367.1615546,0.38
400,422424921.6485127,0.4
420,293629916.7015369,0.42
440,203832969.6580987,0.44
460,147473641.9903828,0.46
480,107625696.429147,0.48
500,79268991.22502135,0.5
520,56816031.60255805,0.52
540,40436991.52500572,0.54
560,29946813.36782566,0.5600000000000001
580,22918162.68030941,0.58
600,18024881.04570017,0.6
620,14491166.75730097,0.62
640,11862428.47656359,0.64
660,9873273.005211139,0.66
680,8344897.739914816,0.68
700,7142075.050244661,0.7000000000000001
720,6183905.880833065,0.72
740,5429665.449251075,0.74
760,4811019.67051441,0.76
780,4300118.009942101,0.78
800,3877207.868075696,0.8
820,3521299.960233193,0.8200000000000001
840,3220992.822338562,0.84
860,2967463.101942006,0.86
880,2748728.102476097,0.88
900,2558992.844212645,0.9
920,2393799.280751756,0.92
940,2249198.62188836,0.9400000000000001
960,2122238.652850711,0.96
980,2010512.802692424,0.98
1000,1911931.98381631,1
1020,1824960.257705117,1.02
1040,1746810.918935545,1.04
1060,1678158.537147778,1.06
1080,1616463.173811919,1.08
1100,1560713.91078917,1.1
1120,1510207.589956773,1.12
1140,1464340.469341212,1.14
1160,1422591.320064326,1.16
1180,1384508.218144317,1.18
1200,1350040.733416145,1.2
1220,1318691.510694359,1.22
1240,1289934.516530829,1.24
1260,1263508.120852562,1.26
1280,1239183.034579005,1.28
1300,1216758.434088318,1.3
1320,1196054.209646954,1.32
1340,1176910.866225937,1.34
1360,1160859.966169806,1.36
1380,1148303.55968721,1.38
1400,1134429.641127035,1.4
1420,1121484.899407907,1.42
1440,1109452.504567218,1.44
1460,1098731.974286725,1.46
1480,1088725.496603803,1.48
1500,1079383.508569811,1.5
1520,1070674.425010333,1.52
1540,1062548.212807079,1.54
1560,1054958.769653487,1.56
1580,1047863.993256217,1.58
1600,1041225.460283792,1.6
1620,1035008.071521803,1.62
1640,1029179.830509005,1.64
1660,1023881.62777956,1.66
1680,1019022.412655495,1.68
1700,1014482.328770911,1.7
1720,1010335.182392394,1.72
1740,1006708.448086358,1.74
1760,1003280.471531116,1.76
1780,1000067.689243671,1.78
1800,997098.7584250151,1.8
1820,994282.3111375719,1.82
1840,991637.0886515242,1.84
1860,989194.1643441215,1.86
1880,986866.5971487247,1.88
1900,984675.3798476263,1.9
1920,982653.4767934596,1.92
1940,980717.5966704726,1.94
1960,978890.4251395353,1.96
1980,977206.3088813265,1.98
2000,975584.9847505195,2
""
