Time_Step,tau-chem-r4f,flow-time
0,0,0
20,130180219819199.7,0.02
40,20343627723094.91,0.04
60,7306648554740.955,0.06
80,2915145625996.546,0.08
100,1241680769083.253,0.1
120,561979955819.5648,0.12
140,269101440365.0749,0.14
160,135786789161.6491,0.16
180,71932704385.81781,0.18
200,39866982095.8933,0.2
220,23041767079.848,0.22
240,13846161302.90383,0.24
260,8626608797.672049,0.26
280,5558054748.268287,0.28
300,3694279922.613997,0.3
320,2527494538.504252,0.32
340,1776233719.855384,0.34
360,1279744260.915206,0.36
380,943589227.9151068,0.38
400,710817596.505785,0.4
420,546234951.3667781,0.42
440,376006901.3180942,0.44
460,285881112.1722174,0.46
480,207199576.5497251,0.48
500,144445912.3535855,0.5
520,82353874.37646203,0.52
540,42769888.41543275,0.54
560,25201035.72522459,0.5600000000000001
580,16328156.29824181,0.58
600,11360389.79460257,0.6
620,8308063.582680567,0.62
640,6294989.222301515,0.64
660,4923486.695422167,0.66
680,3962093.994072312,0.68
700,3250608.911284924,0.7000000000000001
720,2714076.355522163,0.72
740,2331260.696384665,0.74
760,2024938.272145854,0.76
780,1778808.216815569,0.78
800,1582849.27079539,0.8
820,1420612.176611151,0.8200000000000001
840,1287029.118779545,0.84
860,1178408.16396227,0.86
880,1084663.119499393,0.88
900,1003326.888554846,0.9
920,932459.4105772788,0.92
940,870378.0859112322,0.9400000000000001
960,815785.3447878893,0.96
980,768169.4790623582,0.98
1000,726610.5940861377,1
1020,690880.5847731064,1.02
1040,658078.7324694275,1.04
1060,629868.5387804615,1.06
1080,604421.8581777209,1.08
1100,581262.3510174943,1.1
1120,560130.3606801623,1.12
1140,540800.7675851546,1.14
1160,523078.1075695372,1.16
1180,506792.1323204442,1.18
1200,492412.2179284046,1.2
1220,479527.7418222686,1.22
1240,467585.436919899,1.24
1260,456495.8709320553,1.26
1280,446179.9782159938,1.28
1300,436567.976824276,1.3
1320,427597.1438040657,1.32
1340,419211.6068894297,1.34
1360,412410.5423970391,1.36
1380,407576.8874286751,1.38
1400,402454.5264903686,1.4
1420,397610.2021929831,1.42
1440,393074.1912977045,1.44
1460,389267.6635220718,1.46
1480,385602.05995118,1.48
1500,382085.2858105327,1.5
1520,378751.5379957092,1.52
1540,375587.9388983585,1.54
1560,372582.1402770819,1.56
1580,369722.692437537,1.58
1600,366999.092419036,1.6
1620,364401.7279682597,1.62
1640,361921.8263239642,1.64
1660,359802.4818938138,1.66
1680,357923.980373356,1.68
1700,356130.7001004067,1.7
1720,354548.1472048192,1.72
1740,353351.3264087675,1.74
1760,352159.0477176384,1.76
1780,351023.0553142386,1.78
1800,349997.1054645316,1.8
1820,348964.8960585544,1.82
1840,347977.7961277891,1.84
1860,347089.3332725714,1.86
1880,346186.0530743492,1.88
1900,345319.0091957526,1.9
1920,344541.4025857456,1.92
1940,343742.3094843684,1.94
1960,342972.3972449775,1.96
1980,342284.4583124346,1.98
2000,341569.8511412815,2
""
